gene_symbol,count
CNR1,4
MROH1,4
ING3,4
GLUL,4
SPEN,4
BAGE,4
MBD2,4
ZNF91,4
AJUBA,4
DNAJC27,4
NOVA2,4
ADAM23,4
ARHGAP26,4
EPB41,4
U2AF1,4
NFATC1,4
ZNF641,4
TLE3,4
CNPY3,4
HBS1L,4
CLSPN,4
NR5A2,4
SPATA13,4
KATNBL1,4
CEP57L1,4
PROX1,4
MYL12A,4
TRIM36,4
PER3,4
SPATS2,4
KIF9,4
ADH4,4
CLDN18,4
GOPC,4
TTC22,4
SOCS3,4
CLDND1,4
CIZ1,4
SH3GLB2,4
FANCM,4
PAX3,4
EPHB2,4
MOG,4
DGCR8 /// MIR1306,4
CHD6,4
ARL4C,4
YBX3,4
SPIDR,4
TACC2,4
ZNF678,4
CYP3A5,4
NUPL1,4
RPS3A /// SNORD73A,4
PACS2,4
LHX9,4
CLCA2,4
DYNC2LI1,4
CCDC67,4
N4BP1,4
SLCO3A1,4
ZKSCAN1,4
GGT1 /// GGT2 /// GGTLC1 /// GGTLC2,4
SNX19,4
PTPRB,4
ZER1,4
MPHOSPH8,4
DRD2,4
YIF1B,4
C19orf26,4
AHCYL1,4
MYO5A,4
NCOA2,4
ADD1,4
NCK1,4
ERGIC1,4
KLHL5,4
FRZB,4
FMN2,4
CTBP1,4
TAB3,4
SH3RF2,4
ARHGAP1,4
KIAA2026,4
ISY1,4
ZBED3-AS1,4
NOTCH2,4
C1orf61,4
CUL4B,4
MSR1,4
ATP6V1D,4
CAPS,4
RBM48,4
IGHG1 /// IGHM,4
HEMK1,4
FERMT1,4
C11orf1,4
LEPROT,4
TMEM97,4
ARID1A,4
GLYR1,4
AKAP10,4
MS4A1,4
IGSF3,4
RAB3C,4
LRRC41,4
PREPL,4
DLG3,4
FAM161A,4
EIF4E3,4
MOB3B,4
FAM212B /// LOC101928718,4
ZNF589,4
CCDC149,4
USP32 /// USP6,4
SAMM50,4
C17orf51,4
LINC00470,4
PPP2R2A,4
SERPINA1,4
SAMD4A,4
ZNF777,4
FANCA,4
PMS2P3,4
POLR1B,4
SRSF8,4
